,class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
1,p,15.26,2,1,10,0,3,15,7,16.95,17.09,1,2,7,1,7,1,3,15,7,3
2,p,16.6,2,1,10,0,3,15,7,17.99,18.19,1,2,7,1,7,1,3,15,7,1
3,p,14.07,2,1,10,0,3,15,7,17.8,17.74,1,2,7,1,7,1,3,15,7,3
4,p,14.17,3,4,6,0,3,15,7,15.77,15.98,1,2,7,1,7,1,5,15,7,3
5,p,14.64,2,4,10,0,3,15,7,16.53,17.2,1,2,7,1,7,1,5,15,7,3
6,p,15.34,2,1,10,0,3,15,7,17.84,18.79,1,2,7,1,7,1,5,15,7,1
7,p,14.85,3,4,10,0,3,15,7,17.71,16.89,1,2,7,1,7,1,3,15,7,3
8,p,14.86,2,4,6,0,3,15,7,17.03,17.44,1,2,7,1,7,1,5,15,7,1
9,p,12.85,3,1,10,0,3,15,7,17.27,18.69,1,2,7,1,7,1,5,15,7,2
10,p,13.55,3,1,6,0,3,15,7,16.04,16.88,1,2,7,1,7,1,5,15,7,3
11,p,14.17,3,4,6,0,3,15,7,17.86,18.02,1,2,7,1,7,1,5,15,7,2
12,p,13.4,2,4,10,0,3,15,7,17.95,17.14,1,2,7,1,7,1,5,15,7,1
13,p,17.37,2,4,10,0,3,15,7,18.1,18.27,1,2,7,1,7,1,3,15,7,1
14,p,16.56,2,4,10,0,3,15,7,18.89,18.11,1,2,7,1,7,1,5,15,7,1
15,p,15.37,2,4,6,0,3,15,7,18.19,18.38,1,2,7,1,7,1,3,15,7,2
16,p,15.54,3,4,6,0,3,15,7,18.26,17.87,1,2,7,1,7,1,5,15,7,2
17,p,15.19,2,1,6,0,3,15,7,17.42,17.67,1,2,7,1,7,1,5,15,7,2
18,p,17.4,2,4,10,0,3,15,7,18.48,18.54,1,2,7,1,7,1,5,15,7,2
19,p,16.16,2,1,10,0,3,15,7,19.46,18.9,1,2,7,1,7,1,5,15,7,3
20,p,16.93,2,4,6,0,3,15,7,18.31,17.81,1,2,7,1,7,1,5,15,7,1
21,p,13.0,3,1,6,0,3,15,7,17.3,17.19,1,2,7,1,7,1,3,15,7,3
22,p,13.06,2,1,6,0,3,15,7,16.9,17.38,1,2,7,1,7,1,3,15,7,1
23,p,17.23,2,4,10,0,3,15,7,17.63,17.92,1,2,7,1,7,1,3,15,7,3
24,p,14.39,2,1,6,0,3,15,7,16.98,17.48,1,2,7,1,7,1,5,15,7,3
25,p,15.56,3,1,10,0,3,15,7,17.28,16.99,1,2,7,1,7,1,5,15,7,1
26,p,13.2,2,1,10,0,3,15,7,16.91,16.9,1,2,7,1,7,1,5,15,7,3
27,p,13.9,3,4,6,0,3,15,7,17.81,17.77,1,2,7,1,7,1,3,15,7,1
28,p,16.38,3,1,10,0,3,15,7,18.36,17.99,1,2,7,1,7,1,5,15,7,1
29,p,13.3,2,4,6,0,3,15,7,17.6,17.52,1,2,7,1,7,1,5,15,7,2
30,p,15.95,3,1,10,0,3,15,7,16.42,16.65,1,2,7,1,7,1,3,15,7,3
31,p,16.58,2,1,10,0,3,15,7,18.26,18.12,1,2,7,1,7,1,3,15,7,2
